n,dc_time,dc_dist_calls,dc_comparisons,dc_result,hy_time,hy_dist_calls,hy_comparisons,hy_result,bf_time,bf_dist_calls,bf_comparisons,bf_result
1000,0.005466933999997536,5973,5973,3.653267352050854,0.00407452199999625,7849,7849,3.653267352050854,0.14790207300001157,499500,499500,3.653267352050854
2000,0.011910374999985152,14290,14290,3.653267352050854,0.008344356000009157,16252,16252,3.653267352050854,0.6036465359999852,1999000,1999000,3.653267352050854
3000,0.018587516999986065,23613,23613,3.2765452174255913,0.01331670799999074,21325,21325,3.2765452174255913,1.4117240920000143,4498500,4498500,3.2765452174255913
4000,0.03178267600000595,34336,34336,0.1511453355882234,0.021787160999991784,34180,34180,0.1511453355882234,2.5294813639999916,7998000,7998000,0.1511453355882234
5000,0.03477721999999517,46383,46383,0.1511453355882234,0.026166821999993317,51751,51751,0.1511453355882234,3.7190088279999998,12497500,12497500,0.1511453355882234
6000,0.04250341799999546,56554,56554,0.13549652153692354,0.030946008000000802,49132,49132,0.13549652153692354,5.477427750999993,17997000,17997000,0.13549652153692354
7698,0.05804190299997458,79328,79328,0.13549652153692354,0.04005085700001132,70823,70823,0.13549652153692354,,,,
